sequence,color_space,umap_components,original_feature_dim,umap_applied,crop_center_ratio,crop_method,experiment_stage,positive_label,negative_label,true_positive,false_positive,true_negative,false_negative,accuracy,num_samples
F_20200220_1_0810_0840,rgb,864,864,False,0.2,center,ratio_sweep,1,0,61,48,79,68,0.546875,256
F_20200220_1_0840_0870,h,800,800,False,0.2,center,ratio_sweep,1,0,89,68,72,50,0.5770609318996416,279
F_20200220_1_0840_0870,rgb,864,864,False,0.2,center,ratio_sweep,1,0,89,68,72,50,0.5770609318996416,279
F_20200220_1_0870_0900,h,800,800,False,0.2,center,ratio_sweep,1,0,49,40,68,70,0.5154185022026432,227
F_20200220_1_0870_0900,rgb,864,864,False,0.2,center,ratio_sweep,1,0,49,40,68,70,0.5154185022026432,227
F_20200220_1_0000_0030,rgb,864,864,False,0.4,center,ratio_sweep,1,0,104,92,73,60,0.5379939209726444,329
F_20200220_1_0000_0030,h,800,800,False,0.4,center,ratio_sweep,1,0,104,92,73,60,0.5379939209726444,329
F_20200220_1_0030_0060,h,800,800,False,0.4,center,ratio_sweep,1,0,97,77,88,68,0.5606060606060606,330
F_20200220_1_0030_0060,rgb,864,864,False,0.4,center,ratio_sweep,1,0,97,77,88,68,0.5606060606060606,330
F_20200220_1_0060_0090,rgb,864,864,False,0.4,center,ratio_sweep,1,0,98,70,95,67,0.5848484848484848,330
F_20200220_1_0060_0090,h,800,800,False,0.4,center,ratio_sweep,1,0,98,70,95,67,0.5848484848484848,330
F_20200220_1_0090_0120,rgb,864,864,False,0.4,center,ratio_sweep,1,0,76,61,104,89,0.5454545454545454,330
F_20200220_1_0090_0120,h,800,800,False,0.4,center,ratio_sweep,1,0,76,61,104,89,0.5454545454545454,330
F_20200220_1_0120_0150,rgb,864,864,False,0.4,center,ratio_sweep,1,0,88,64,101,76,0.574468085106383,329
F_20200220_1_0120_0150,h,800,800,False,0.4,center,ratio_sweep,1,0,88,64,101,76,0.574468085106383,329
F_20200220_1_0150_0180,h,800,800,False,0.4,center,ratio_sweep,1,0,42,42,57,53,0.5103092783505154,194
F_20200220_1_0150_0180,rgb,864,864,False,0.4,center,ratio_sweep,1,0,42,42,57,53,0.5103092783505154,194
F_20200220_1_0330_0360,h,800,800,False,0.4,center,ratio_sweep,1,0,88,47,85,44,0.6553030303030303,264
F_20200220_1_0330_0360,rgb,864,864,False,0.4,center,ratio_sweep,1,0,88,47,85,44,0.6553030303030303,264
F_20200220_1_0360_0390,rgb,864,864,False,0.4,center,ratio_sweep,1,0,93,44,120,72,0.6474164133738601,329
F_20200220_1_0360_0390,h,800,800,False,0.4,center,ratio_sweep,1,0,93,44,120,72,0.6474164133738601,329
F_20200220_1_0390_0420,h,800,800,False,0.4,center,ratio_sweep,1,0,88,57,108,77,0.593939393939394,330
F_20200220_1_0390_0420,rgb,864,864,False,0.4,center,ratio_sweep,1,0,88,57,108,77,0.593939393939394,330
F_20200220_1_0420_0450,rgb,864,864,False,0.4,center,ratio_sweep,1,0,107,64,101,58,0.6303030303030303,330
F_20200220_1_0420_0450,h,800,800,False,0.4,center,ratio_sweep,1,0,107,64,101,58,0.6303030303030303,330
F_20200220_1_0450_0480,h,800,800,False,0.4,center,ratio_sweep,1,0,118,73,92,46,0.6382978723404256,329
F_20200220_1_0450_0480,rgb,864,864,False,0.4,center,ratio_sweep,1,0,118,73,92,46,0.6382978723404256,329
F_20200220_1_0480_0510,rgb,864,864,False,0.4,center,ratio_sweep,1,0,95,76,89,70,0.5575757575757576,330
F_20200220_1_0480_0510,h,800,800,False,0.4,center,ratio_sweep,1,0,95,76,89,70,0.5575757575757576,330
F_20200220_1_0510_0540,h,800,800,False,0.4,center,ratio_sweep,1,0,80,56,109,85,0.5727272727272728,330
F_20200220_1_0510_0540,rgb,864,864,False,0.4,center,ratio_sweep,1,0,80,56,109,85,0.5727272727272728,330
F_20200220_1_0540_0570,rgb,864,864,False,0.4,center,ratio_sweep,1,0,97,48,117,68,0.6484848484848484,330
F_20200220_1_0540_0570,h,800,800,False,0.4,center,ratio_sweep,1,0,97,48,117,68,0.6484848484848484,330
F_20200220_1_0570_0600,h,800,800,False,0.4,center,ratio_sweep,1,0,78,74,91,87,0.5121212121212121,330
F_20200220_1_0570_0600,rgb,864,864,False,0.4,center,ratio_sweep,1,0,78,74,91,87,0.5121212121212121,330
F_20200220_1_0600_0630,rgb,864,864,False,0.4,center,ratio_sweep,1,0,68,54,111,97,0.5424242424242425,330
F_20200220_1_0600_0630,h,800,800,False,0.4,center,ratio_sweep,1,0,68,54,111,97,0.5424242424242425,330
F_20200220_1_0630_0660,rgb,864,864,False,0.4,center,ratio_sweep,1,0,73,50,115,92,0.5696969696969697,330
F_20200220_1_0630_0660,h,800,800,False,0.4,center,ratio_sweep,1,0,73,50,115,92,0.5696969696969697,330
F_20200220_1_0660_0690,rgb,864,864,False,0.4,center,ratio_sweep,1,0,85,42,123,80,0.6303030303030303,330
F_20200220_1_0660_0690,h,800,800,False,0.4,center,ratio_sweep,1,0,85,42,123,80,0.6303030303030303,330
F_20200220_1_0690_0720,h,800,800,False,0.4,center,ratio_sweep,1,0,91,42,123,74,0.6484848484848484,330
F_20200220_1_0690_0720,rgb,864,864,False,0.4,center,ratio_sweep,1,0,91,42,123,74,0.6484848484848484,330
F_20200220_1_0720_0750,h,800,800,False,0.4,center,ratio_sweep,1,0,86,59,106,79,0.5818181818181818,330
F_20200220_1_0720_0750,rgb,864,864,False,0.4,center,ratio_sweep,1,0,86,59,106,79,0.5818181818181818,330
F_20200220_1_0750_0780,rgb,864,864,False,0.4,center,ratio_sweep,1,0,96,59,106,69,0.6121212121212121,330
F_20200220_1_0750_0780,h,800,800,False,0.4,center,ratio_sweep,1,0,97,59,106,68,0.6151515151515151,330
F_20200220_1_0780_0810,rgb,864,864,False,0.4,center,ratio_sweep,1,0,122,120,45,43,0.5060606060606061,330
F_20200220_1_0780_0810,h,800,800,False,0.4,center,ratio_sweep,1,0,122,120,45,43,0.5060606060606061,330
F_20200220_1_0810_0840,rgb,864,864,False,0.4,center,ratio_sweep,1,0,67,60,105,98,0.5212121212121212,330
F_20200220_1_0810_0840,h,800,800,False,0.4,center,ratio_sweep,1,0,67,60,105,98,0.5212121212121212,330
F_20200220_1_0840_0870,h,800,800,False,0.4,center,ratio_sweep,1,0,114,94,71,51,0.5606060606060606,330
F_20200220_1_0840_0870,rgb,864,864,False,0.4,center,ratio_sweep,1,0,114,94,71,51,0.5606060606060606,330
F_20200220_1_0870_0900,rgb,864,864,False,0.4,center,ratio_sweep,1,0,111,106,59,54,0.5151515151515151,330
F_20200220_1_0870_0900,h,800,800,False,0.4,center,ratio_sweep,1,0,111,106,59,54,0.5151515151515151,330
F_20200220_1_0000_0030,h,800,800,False,0.6,center,ratio_sweep,1,0,99,97,68,65,0.5075987841945289,329
F_20200220_1_0000_0030,rgb,864,864,False,0.6,center,ratio_sweep,1,0,99,97,68,65,0.5075987841945289,329
F_20200220_1_0030_0060,rgb,864,864,False,0.6,center,ratio_sweep,1,0,111,111,54,54,0.5,330
F_20200220_1_0030_0060,h,800,800,False,0.6,center,ratio_sweep,1,0,111,111,54,54,0.5,330
F_20200220_1_0060_0090,h,800,800,False,0.6,center,ratio_sweep,1,0,116,84,81,49,0.5969696969696969,330
F_20200220_1_0060_0090,rgb,864,864,False,0.6,center,ratio_sweep,1,0,116,84,81,49,0.5969696969696969,330
F_20200220_1_0090_0120,h,800,800,False,0.6,center,ratio_sweep,1,0,104,79,86,61,0.5757575757575758,330
F_20200220_1_0090_0120,rgb,864,864,False,0.6,center,ratio_sweep,1,0,104,79,86,61,0.5757575757575758,330
F_20200220_1_0120_0150,h,800,800,False,0.6,center,ratio_sweep,1,0,95,67,98,70,0.5848484848484848,330
F_20200220_1_0120_0150,rgb,864,864,False,0.6,center,ratio_sweep,1,0,95,67,98,70,0.5848484848484848,330
F_20200220_1_0150_0180,h,800,800,False,0.6,center,ratio_sweep,1,0,41,40,59,58,0.5050505050505051,198
F_20200220_1_0150_0180,rgb,864,864,False,0.6,center,ratio_sweep,1,0,41,40,59,58,0.5050505050505051,198
F_20200220_1_0330_0360,rgb,864,864,False,0.6,center,ratio_sweep,1,0,83,44,88,49,0.6477272727272727,264
F_20200220_1_0330_0360,h,800,800,False,0.6,center,ratio_sweep,1,0,83,44,88,49,0.6477272727272727,264
F_20200220_1_0360_0390,rgb,864,864,False,0.6,center,ratio_sweep,1,0,92,48,117,73,0.6333333333333333,330
F_20200220_1_0360_0390,h,800,800,False,0.6,center,ratio_sweep,1,0,92,48,117,73,0.6333333333333333,330
F_20200220_1_0390_0420,rgb,864,864,False,0.6,center,ratio_sweep,1,0,95,57,108,70,0.6151515151515151,330
F_20200220_1_0390_0420,h,800,800,False,0.6,center,ratio_sweep,1,0,95,57,108,70,0.6151515151515151,330
F_20200220_1_0420_0450,h,800,800,False,0.6,center,ratio_sweep,1,0,122,74,91,43,0.6454545454545455,330
F_20200220_1_0420_0450,rgb,864,864,False,0.6,center,ratio_sweep,1,0,122,74,91,43,0.6454545454545455,330
F_20200220_1_0450_0480,h,800,800,False,0.6,center,ratio_sweep,1,0,120,74,91,44,0.6413373860182371,329
F_20200220_1_0450_0480,rgb,864,864,False,0.6,center,ratio_sweep,1,0,117,70,95,47,0.6443768996960486,329
F_20200220_1_0480_0510,rgb,864,864,False,0.6,center,ratio_sweep,1,0,103,79,86,62,0.5727272727272728,330
F_20200220_1_0480_0510,h,800,800,False,0.6,center,ratio_sweep,1,0,103,79,86,62,0.5727272727272728,330
F_20200220_1_0510_0540,h,800,800,False,0.6,center,ratio_sweep,1,0,95,71,94,70,0.5727272727272728,330
F_20200220_1_0510_0540,rgb,864,864,False,0.6,center,ratio_sweep,1,0,95,71,94,70,0.5727272727272728,330
F_20200220_1_0540_0570,h,800,800,False,0.6,center,ratio_sweep,1,0,81,49,116,84,0.5969696969696969,330
F_20200220_1_0540_0570,rgb,864,864,False,0.6,center,ratio_sweep,1,0,81,49,116,84,0.5969696969696969,330
F_20200220_1_0570_0600,h,800,800,False,0.6,center,ratio_sweep,1,0,86,71,94,79,0.5454545454545454,330
F_20200220_1_0570_0600,rgb,864,864,False,0.6,center,ratio_sweep,1,0,86,71,94,79,0.5454545454545454,330
F_20200220_1_0600_0630,rgb,864,864,False,0.6,center,ratio_sweep,1,0,108,65,100,57,0.6303030303030303,330
F_20200220_1_0600_0630,h,800,800,False,0.6,center,ratio_sweep,1,0,108,65,100,57,0.6303030303030303,330
F_20200220_1_0630_0660,rgb,864,864,False,0.6,center,ratio_sweep,1,0,83,53,112,82,0.5909090909090909,330
F_20200220_1_0630_0660,h,800,800,False,0.6,center,ratio_sweep,1,0,83,53,112,82,0.5909090909090909,330
